1468345190 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1468391495 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1468393591 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1468594914 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1468605428 3 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1468730889 3 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1468744267 3 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1468755527 3 1 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1468847795 3 1 0 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1468849002 4 1 0 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1468850639 4 1 0 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1468998287 4 1 0 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1469597304 5 1 0 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1470413383 5 1 0 7 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1470413917 5 1 0 8 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1471018766 5 1 0 8 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1471264673 5 1 0 8 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1471506140 5 2 0 8 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1471506522 5 2 0 8 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1471938117 5 2 0 8 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1472033872 5 2 1 8 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1472444761 6 2 1 8 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1472459402 7 2 1 8 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1472459675 8 2 1 8 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1472466208 8 2 1 9 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1472467155 9 2 1 9 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1472467223 9 2 1 10 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1472469342 9 2 2 10 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1472561418 10 2 2 10 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1472573328 11 2 2 10 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1472574819 11 2 2 11 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1472574912 11 2 2 11 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
1472611564 11 2 2 12 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
1472623377 11 2 3 12 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
1472623481 11 2 3 13 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
1472692819 11 2 4 13 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
1472719374 11 2 4 14 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
1472721252 11 2 4 15 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
1472722947 11 2 4 16 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
1472728105 11 3 4 16 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
1472734396 12 3 4 16 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
1472735322 12 3 4 17 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
1472741048 13 3 4 17 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
1472742704 13 3 4 18 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
1472747125 13 3 4 19 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
1472782929 13 4 4 19 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
1472795898 13 5 4 19 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
1472805298 13 6 4 19 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
1472834051 13 6 4 20 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
1472836029 13 6 4 21 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
1472836067 13 7 4 21 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
1472837194 13 8 4 21 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
1472837451 13 8 4 22 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
1472873796 13 9 4 22 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
1472972252 13 10 4 22 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
1473499493 13 11 4 22 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
1473677747 13 11 4 23 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
1474001356 14 11 4 23 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
1474001473 14 11 4 23 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
1474296999 14 11 4 23 2 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0
1476615959 14 11 5 23 2 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0
1477467904 14 12 5 23 2 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0
